case_name,cite,filename,date,court,state_fed,trial_appellate,jurisd_measure_enacted
"Givens v. Newsom, No., 2022 WL 4357939 ",2022 WL 4357939,39-Givens-v-Newsom_1.txt,9/20/2022,DC_California Eastern,federal,trial,California
"McGuire v. Roseville Joint Union High School District, 
2022 WL 4096014",2022 WL 4096014,28-McGuire-v-Roseville-Joint-Union-High-School-District.txt,9/7/2022,DC_California Eastern,federal,trial,California
"McDonald v. California Department of Motor Vehicles, 2022 WL 1460209",2022 WL 1460209,91-McDonald-v-California-Department-of-Motor-Vehicles-in-Sacramento-County.txt,5/9/2022,DC_California Eastern,federal,trial,California
"Pereira v. United States, No. 222CV0073KJMKJNPS, 2022 WL 2488578 ",2022 WL 2488578,77-Pereira-v-United-States_1.txt,7/6/2022,DC_California Eastern,federal,trial,Federal
Bush v. Walensky 2021 WL 4954347,2021 WL 4954347,035-Bush-v-Walensky_1.txt,9/2/2021,DC_California Northern,federal,trial,Federal
"Keene v. City and County of San Francisco, 2022 WL 4454362",2022 WL 4454362,49-Keene-v-City-and-County-of-San-Francisco_1.txt,9/23/2022,DC_California Northern,federal,trial,California
"Calvary Chapel San Jose v. Cody II, 2022 WL 827116",2022 WL 827116,07-Calvary-Chapel-San-Jose-v-Cody.txt,3/18/2022,DC_California Northern,federal,trial,California
"Calvary Chapel San Jose v. Cody, 2020 WL 6508565",2020 WL 6508565,077-Calvary-Chapel-San-Jose-v-Cody_1.txt,11/5/2020,DC_California Northern,federal,trial,California
"Christian Cathedral v. Pan, 2020 WL 3078072",2020 WL 3078072,003-Christian-Cathedral-v-Pan.txt,6/10/2020,DC_California Northern,federal,trial,California
"Gateway City Church v. Newsom, 2021 WL 431456",2021 WL 431456,100-Gateway-City-Church-v-Newsom.txt,2/8/2021,DC_California Northern,federal,trial,California
"Gateway City Church v. Newsom, 2021 WL 781981",2021 WL 781981,36-Gateway-City-Church-v-Newsom_1.txt,1/29/2021,DC_California Northern,federal,trial,California
"Calvary Chapel San Jose v. Cody I, 2020 WL 7428322
",2020 WL 7428322,003-Calvary-Chapel-San-Jose-v-Cody.txt,12/18/2020,DC_California Northern,federal,trial,California
"Seaplane Adventures, LLC v. County of Marin, California, 572 F.Supp.3d 857",572 F.Supp.3d 857,042-Seaplane-Adventures-LLC-v-County-of-Marin-California_1.txt,11/22/2021,DC_California Northern,federal,trial,California
Hall v. U.S. Department of Agriculture 467 F.Supp.3d 838,467 F.Supp.3d 838,048-Hall-v-US-Department-of-Agriculture.txt,6/17/2020,DC_California Northern,federal,trial,Federal
"San Francisco International Arts Festival v. Breed, 2022 WL 658971",2022 WL 658971,80-San-Francisco-International-Arts-Festival-v-Breed.txt,3/4/2022,DC_California Northern,federal,trial,California
"Alexander v. County of San Mateo, 2020 WL 6577499",2020 WL 6577499,082-Alexander-v-County-of-San-Mateo.txt,10/6/2020,DC_California Northern,federal,trial,California
"Altman v. County of Santa Clara, 464 F.Supp.3d 1106",464 F.Supp.3d 1106,005-Altman-v-County-of-Santa-Clara.txt,6/2/2020,DC_California Northern,federal,trial,California
"Bryant v. Mase, 2020 WL 5361073",2020 WL 5361073,039-Bryant-v-Mase_1.txt,9/8/2020,DC_California Northern,federal,trial,California
"Calvary Chapel San Jose v. Cody, 2022 WL 5264651 ",2022 WL 5264651,63-Calvary-Chapel-San-Jose-v-Cody.txt,10/6/2022,DC_California Northern,federal,trial,California
Chamber of Commerce of United State v. United States Department of Homeland Security 504 F.Supp.3d 1077,504 F.Supp.3d 1077,011-Chamber-of-Commerce-of-United-State-v-United-States-Department-of-Homeland_1.txt,12/1/2020,DC_California Northern,federal,trial,Federal
"Seaplane Adventures, LLC v. County of Marin, California, 2021 WL 5161928",2021 WL 5161928,046-Seaplane-Adventures-LLC-v-County-of-Marin-California_1.txt,11/5/2021,DC_California Northern,federal,trial,California
California Life Sciences Association v. Center for Medicare and Medicaid Services 2020 WL 7696050,2020 WL 7696050,006-California-Life-Sciences-Association-v-Center-for-Medicare-and-Medicaid-Se.txt,12/28/2020,DC_California Northern,federal,trial,Federal
"Santa Cruz Homeless Union v. Bernal, 514 F.Supp.3d 1136",514 F.Supp.3d 1136,035-Santa-Cruz-Homeless-Union-v-Bernal_1.txt,1/20/2021,DC_California Northern,federal,trial,California
"Sausalito/Marin County Chapter of California Homeless Union v. City of Sausalito, 522 F.Supp.3d 648",522 F.Supp.3d 648,052-SausalitoMarin-County-Chapter-of-California-Homeless-Union-v-City-of-Sausa_1.txt,3/1/2021,DC_California Northern,federal,trial,California
Plata v. Newsom 2021 WL 5410608,2021 WL 5410608,064-Plata-v-Newsom_1.txt,11/17/2021,DC_California Northern,federal,trial,California
"JUDY GEORGE, et al., v. GROSSMONT CUYAMACA COMMUNITY COLLEGE DISTRICT BOARD OF GOVERNORS, et al., No. 22-CV-0424-BAS-DDL, 2022 WL 17330467 (S.D. Cal. Nov. 29, 2022).",2022 WL 17330467 ,33-George-v-Grossmont-Cuyamaca-Community-College-District-Board-of-Governors_1.txt,11/29/2022,DC_California Southern,federal,trial,California
"George v. Grossmont Cuyamaca Cmty. Coll. Dist. Bd. of Governors, 2022 WL 16722357",2022 WL 16722357,14-George-v-Grossmont-Cuyamaca-Community-College-District-Board-of-Governors.txt,11/4/2022,DC_California Southern,federal,trial,California
"Ministries v. Newsom, 465 F.Supp.3d 1068
",465 F.Supp.3d 1068,072-Ministries-v-Newsom.txt,6/4/2020,DC_California Southern,federal,trial,California
"Doe v. San Diego Unified School District, 2021 WL 5396136",2021 WL 5396136,063-Doe-v-San-Diego-Unified-School-District_1.txt,11/18/2021,DC_California Southern,federal,trial,California
"Doe v. San Diego Unified School District, 2022 WL 2229422",2022 WL 2229422,59-Doe-v-San-Diego-Unified-School-District_1.txt,6/21/2022,DC_California Southern,federal,trial,California
"Doe v. San Diego Unified School District, 2022 WL 16984502",2022 WL 16984502,17-Doe-v-San-Diego-Unified-School-District.txt,11/16/2022,DC_California Southern,federal,trial,California
"San Diego County Lodging Association v. City of San Diego, 2021 WL 5176477",2021 WL 5176477,049-San-Diego-County-Lodging-Association-v-City-of-San-Diego_1.txt,7/8/2021,DC_California Southern,federal,trial,California
"San Diego County Lodging Association v. City of San Diego, 561 F.Supp.3d 960",561 F.Supp.3d 960,011-San-Diego-County-Lodging-Association-v-City-of-San-Diego_1.txt,9/16/2021,DC_California Southern,federal,trial,California
"Bols v. Newsom, 515 F.Supp.3d. 1120",515 F.Supp.3d. 1120,039-Bols-v-Newsom_1.txt,1/26/2021,DC_California Southern,federal,trial,California
"Pine Valley House Resort, LLC v. Newsom, 2022 WL 747729

",2022 WL 747729,92-Pine-Valley-House-Resort-LLC-v-Newsom.txt,3/10/2022,DC_California Southern,federal,trial,California
"Metroflex Oceanside LLC v. Newsom, 532 F.Supp.3d 976
",532 F.Supp.3d 976,066-Metroflex-Oceanside-LLC-v-Newsom_1.txt,4/5/2021,DC_California Southern,federal,trial,California
"Bols v. Newsom, 2020 WL 8674048",2020 WL 8674048,019-Bols-v-Newsom_1.txt,6/30/2020,DC_California Southern,federal,trial,California
"ReOpen San Diego v. City of San Diego, 2022 WL 3371340",2022 WL 3371340,04-ReOpen-San-Diego-v-City-of-San-Diego.txt,8/16/2022,DC_California Southern,federal,trial,California
"Forbes v. County of San Diego, 2021 WL 843175",2021 WL 843175,44-Forbes-v-County-of-San-Diego_1.txt,3/4/2021,DC_California Southern,federal,trial,California
"de Cristo Cano v. Biden, 2022 WL 1004558",2022 WL 1004558,56-de-Cristo-Cano-v-Biden_1.txt,4/4/2022,DC_California Southern,federal,trial,Federal
"Does 1-11 v. Board of Regents of the University of Colorado, 2022 WL 4547563",2022 WL 4547563,51-Does-1-11-v-Board-of-Regents-of-The-University-of-Colorado_1.txt,9/29/2022,DC_Colorado,federal,trial,Colorado
"Lawrence v. Colorado, 455 F.Supp.3d 1063",455 F.Supp.3d 1063,88-Lawrence-v-Colorado.txt,4/19/2020,DC_Colorado,federal,trial,Colorado
"Denver Bible Church v. Azar, 494 F.Supp.3d 816",494 F.Supp.3d 816,032-Denver-Bible-Church-v-Azar.txt,10/15/2020,DC_Colorado,federal,trial,Colorado
"Does 1-11 v. Board of Regents of The University of Colorado, 2022 WL 252320",2022 WL 252320,78-Does-1-11-v-Board-of-Regents-of-University-of-Colorado_1.txt,1/27/2022,DC_Colorado,federal,trial,Colorado
"High Plains Harvest Church v. Polis, 2020 WL 3263902",2020 WL 3263902,007-High-Plains-Harvest-Church-v-Polis.txt,6/16/2020,DC_Colorado,federal,trial,Colorado
"High Plains Harvest Church v. Polis, 2020 WL 4582720",2020 WL 4582720,025-High-Plains-Harvest-Church-v-Polis_1.txt,8/10/2020,DC_Colorado,federal,trial,Colorado
"Doe v. University of Colorado, 2021 WL 4949156",2021 WL 4949156,033-Doe-v-University-of-Colorado_1.txt,10/25/2021,DC_Colorado,federal,trial,Colorado
"Denver Bible Church v. Becerra, 2021 WL 1220758",2021 WL 1220758,036-Denver-Bible-Church-v-Becerra_1.txt,3/28/2021,DC_Colorado,federal,trial,Colorado
"Andrew Wommack Ministries, Inc. v. Polis, 2020 WL 5810525",2020 WL 5810525,051-Andrew-Wommack-Ministries-Inc-v-Polis_1.txt,9/29/2020,DC_Colorado,federal,trial,Colorado
"Colorado Contractors Association v. City & County of Denver, 2022 WL 344893",2022 WL 344893,08-Colorado-Contractors-Association-v-City-And-County-of-Denver.txt,2/4/2022,DC_Colorado,federal,trial,Colorado
"Lawrence v. Polis, 505 F.Supp.3d 1136",505 F.Supp.3d 1136,013-Lawrence-v-Polis.txt,12/4/2020,DC_Colorado,federal,trial,Colorado
"Robert v. Austin, 2022 WL 103374",2022 WL 103374,59-Robert-v-Austin_1.txt,1/11/2022,DC_Colorado,federal,trial,Federal
"Brass v. Biden, No. 21-CV-02778-CNS-MEH, 2022 WL 4386001 ",2022 WL 4386001,47-Brass-v-Biden_1.txt,9/22/2022,DC_Colorado,federal,trial,Federal
Robert v. Austin 2021 WL 8444665,2021 WL 8444665,45-Robert-v-Austin_1.txt,9/1/2021,DC_Colorado,federal,trial,Federal
"Douglas County School District v. Douglas County Health Dept, 568 F.Supp.3d 1158",568 F.Supp.3d 1158,027-Douglas-County-School-District-RE-1-v-Douglas-County-Health-Department_1.txt,10/26/2021,DC_Colorado,federal,trial,Colorado
"Brass v. Biden, 2022 WL 136903",2022 WL 136903,82-Brass-v-Biden.txt,1/14/2022,DC_Colorado,federal,trial,Federal
"Murphy v. Lamont, 2022 WL 1082609",2022 WL 1082609,66-Murphy-v-Lamont_1.txt,4/11/2022,DC_Connecticut,federal,trial,Connecticut
"Murphy v. Lamont, 2020 WL 4435167
",2020 WL 4435167,024-Murphy-v-Lamont_1.txt,8/3/2020,DC_Connecticut,federal,trial,Connecticut
"Auracle Homes, LLC. v. Lamont, 478 F.Supp.3d 199",478 F.Supp.3d 199,010-Auracle-Homes-LLC-v-Lamont.txt,8/7/2020,DC_Connecticut,federal,trial,Connecticut
"Aldridge v. Lamont, 2020 WL 7773415",2020 WL 7773415,009-Aldridge-v-Lamont.txt,12/30/2020,DC_Connecticut,federal,trial,Connecticut
"Amato v. Elicker, 534 F.Supp.3d 196",534 F.Supp.3d 196,067-Amato-v-Elicker.txt,4/15/2021,DC_Connecticut,federal,trial,Connecticut
"Reale v. Haskell, No. 3:21-CV-1349(AWT), 2022 WL 3139555 (D. Conn. Aug. 5, 2022)",2022 WL 3139555 ,97-Reale-v-Haskell.txt,8/5/2022,DC_Connecticut,federal,trial,Connecticut
"Amato v. Elicker, 460 F.Supp.3d 202 ",460 F.Supp.3d 202,006-Amato-v-Elicker.txt,5/19/2020,DC_Connecticut,federal,trial,Connecticut
"Connecticut Citizens Defense League v. Lamont, 465 F.Supp.3d 56",465 F.Supp.3d 56,029-Connecticut-Citizens-Defense-League-Inc-v-Lamont.txt,6/8/2020,DC_Connecticut,federal,trial,Connecticut
"Bullock v. Carney, 463 F.Supp.3d 519",463 F.Supp.3d 519,075-Bullock-v-Carney_1.txt,5/29/2020,DC_Delaware,federal,trial,Delaware
"Schiavo v. Carney, 
548 F.Supp.3d 437",548 F.Supp.3d 437,087-Schiavo-v-Carney.txt,7/13/2021,DC_Delaware,federal,trial,Delaware
Knick v. Austin 2022 WL 2157066,2022 WL 2157066,56-Knick-v-Austin_1.txt,6/15/2022,DC_District of Columbia,federal,trial,Federal
"Church v. Biden, 2021 WL 5179215",2021 WL 5179215,050-Church-v-Biden_1.txt,11/8/2021,DC_District of Columbia,federal,trial,Federal
"Booth v. Bowser, 2022 WL 823068",2022 WL 823068,06-Booth-v-Bowser.txt,3/18/2022,DC_District of Columbia,federal,trial,DC
"Creaghan v. Austin, 2022 WL 1685006",2022 WL 1685006,16-Creaghan-v-Austin.txt,5/26/2022,DC_District of Columbia,federal,trial,Federal
"Creaghan v. Austin, 2022 WL 1500544",2022 WL 1500544,96-Creaghan-v-Austin.txt,5/12/2022,DC_District of Columbia,federal,trial,Federal
"Booth v. Bowser, 2022 WL 2111561",2022 WL 2111561,51-Booth-v-Bowser_1.txt,3/24/2022,DC_District of Columbia,federal,trial,DC
"Roman Catholic Archbishop of Washington v. Bowser, 531 F.Supp.3d 22",531 F.Supp.3d 22,065-Roman-Catholic-Archbishop-of-Washington-v-Bowser_1.txt,3/25/2021,DC_District of Columbia,federal,trial,DC
"Church v. Biden, 2022 WL 1491100",2022 WL 1491100,94-Church-v-Biden.txt,5/11/2022,DC_District of Columbia,federal,trial,Federal
"Navy Seal 1, et al. vs. Austin 2022 WL 1294486",2022 WL 1294486,80-Navy-SEAL-1-v-Austin.txt,4/29/2022,DC_District of Columbia,federal,trial,Federal
Gallo v. District of Columbia (D.C.) 2022 WL 2208934,2022 WL 2208934,58-Gallo-v-District-of-Columbia.txt,6/21/2022,DC_District of Columbia,federal,trial,DC
"Ala. Ass'n of Realtors v. HHS, 557 F.Supp.3d 1",557 F.Supp.3d 1,098-Alabama-Association-of-Realtors-v-United-States-Department-of-Health-and-H.txt,8/13/2021,DC_District of Columbia,federal,trial,Federal
"McCray v. Biden, 2021 WL 5823801
",2021 WL 5823801,088-McCray-v-Biden.txt,12/7/2021,DC_District of Columbia,federal,trial,Federal
Payne v. Biden 2022 WL 1500563,2022 WL 1500563,97-Payne-v-Biden.txt,5/12/2022,DC_District of Columbia,federal,trial,Federal
"Ala. Ass’n of Realtors v. HHS, 539 F.Supp.3d 211",539 F.Supp.3d 211,071-Alabama-Association-of-Realtors-v-United-States-Department-of-Health-and-H_1.txt,5/14/2021,DC_District of Columbia,federal,trial,Federal
"Capitol Hill Baptist Church v. Bowser, 496 F.Supp.3d 284",496 F.Supp.3d 284,023-Capitol-Hill-Baptist-Church-v-Bowser.txt,10/9/2020,DC_District of Columbia,federal,trial,DC
"Altschuld v. Raimondo, 2021 WL 6113563",2021 WL 6113563,08-Altschuld-v-Raimondo.txt,11/8/2021,DC_District of Columbia,federal,trial,Federal
"Ala. Ass’n of Realtors v. HHS, 539 F.Supp.3d 29",539 F.Supp.3d 29,072-Alabama-Association-of-Realtors-v-United-States-Department-of-Health-and-H_1.txt,5/5/2021,DC_District of Columbia,federal,trial,Federal
"Massie v. Pelosi, 2022 WL 703942",2022 WL 703942,86-Massie-v-Pelosi.txt,3/9/2022,DC_District of Columbia,federal,trial,DC
"District of Columbia v. Towers, 260 A.3d 690",260 A.3d 690,40-District-of-Columbia-v-Towers_1.txt,10/7/2021,DC_District of Columbia,federal,trial,DC
"Perez v. Becerra, 2022 WL 1102203",2022 WL 1102203,69-Perez-v-Becerra_1.txt,4/13/2022,DC_District of Columbia,federal,trial,DC
"Carlin v. Centers for Disease Control & Prevention, No. 22-CV-800 (CRC), 2022 WL 4109661 (D.D.C. Aug. 4, 2022)",2022 WL 4109661 ,32-Carlin-v-Centers-for-Disease-Control-and-Prevention_1.txt,8/4/2022,DC_District of Columbia,federal,trial,DC
"Bongiovanni v. Austin, 2022 WL 1642158",2022 WL 1642158,09-Bongiovanni-v-Austin.txt,5/24/2022,DC_Florida Middle,federal,trial,Federal
"Navy Seal 1 v. Biden, 574 F.Supp.3d 1124

",574 F.Supp.3d 1124,047-Navy-Seal-1-v-Biden_1.txt,11/22/2021,DC_Florida Middle,federal,trial,Federal
Hyatt v. Austin 2022 WL 2291660,2022 WL 2291660,64-Hyatt-v-Austin_1.txt,6/24/2022,DC_Florida Middle,federal,trial,Federal
"Navy Seal 1 v. Austin, 2022 WL 2308836",2022 WL 2308836,65-Navy-Seal-1-v-Austin_1.txt,4/21/2022,DC_Florida Middle,federal,trial,Federal
"Navy Seal 1 v. Austin, 2022 WL 710321

",2022 WL 710321,88-Navy-Seal-1-v-Austin.txt,3/2/2022,DC_Florida Middle,federal,trial,Federal
"Navy Seal 1 v. Austin, 2022 WL 2338413",2022 WL 2338413,66-Navy-Seal-1-v-Austin_1.txt,3/11/2022,DC_Florida Middle,federal,trial,Federal
"Navy Seal 1 v. Austin, 2022 WL 534459

",2022 WL 534459,64-Navy-Seal-1-v-Austin_1.txt,2/18/2022,DC_Florida Middle,federal,trial,Federal
"Colonol Financial Management Officer v. Austin, 2022 WL 3643512",2022 WL 3643512,19-Colonel-Financial-Management-Officer-v-Austin_1.txt,8/18/2022,DC_Florida Middle,federal,trial,Federal
"Seal v. Biden, 2022 WL 483832",2022 WL 483832,59-Seal-v-Biden_1.txt,2/2/2022,DC_Florida Middle,federal,trial,Federal
"Oakes v. Collier County, 2020 WL 6591194

",2020 WL 6591194,084-Oakes-v-Collier-County.txt,11/11/2020,DC_Florida Middle,federal,trial,Florida
"Alsop v. Desantis, 2020 WL 9071427 ",2020 WL 9071427,023-Alsop-v-Desantis_1.txt,11/5/2020,DC_Florida Middle,federal,trial,Florida
"Cummings v. DeSantis, 2020 WL 4815816",2020 WL 4815816,028-Cummings-v-DeSantis_1.txt,8/19/2020,DC_Florida Middle,federal,trial,Florida
"Cummings v. DeSantis, 2020 WL 2512805",2020 WL 2512805,81-Cummings-v-DeSantis.txt,5/15/2020,DC_Florida Middle,federal,trial,Florida
"Flores v. United States, 2022 WL 204247",2022 WL 204247,47-Flores-v-United-States_1.txt,1/24/2022,DC_Florida Middle,federal,trial,Federal
"Oakes v. Collier County, 515 F.Supp.3d 1202

",515 F.Supp.3d 1202,037-Oakes-v-Collier-County.txt,1/27/2021,DC_Florida Middle,federal,trial,Florida
"Health Freedom Defense Fund v. Biden, 2022 WL 1134138",2022 WL 1134138,71-Health-Freedom-Defense-Fund-Inc-v-Biden_1.txt,4/18/2022,DC_Florida Middle,federal,trial,Florida
"Alsop v. Desantis, 2020 WL 4927592",2020 WL 4927592,031-Alsop-v-Desantis_1.txt,8/21/2020,DC_Florida Middle,federal,trial,Florida
Florida v. Becerra 2021 WL 2882828,2021 WL 2882828,063-Florida-v-Becerra_1.txt,7/7/2021,DC_Florida Middle,federal,trial,Federal
"Crosby v. Austin, 2022 WL 603784",2022 WL 603784,74-Crosby-v-Austin_1.txt,3/1/2022,DC_Florida Middle,federal,trial,Federal
"KI Florida Properties v. Walton County, 2021 WL 5456668",2021 WL 5456668,067-KI-Florida-Properties-Inc-v-Walton-County_1.txt,10/15/2021,DC_Florida Northern,federal,trial,Florida
"Doe #1-#14 v. Austin, 2021 WL 5816632
",2021 WL 5816632,086-Doe-_1-_14-v-Austin.txt,11/12/2021,DC_Florida Northern,federal,trial,Federal
"Ham v. Alachua County Board of Cty Comms., 2020 WL 8642917",2020 WL 8642917,017-Ham-v-Alachua-County-Board-of-County-Commissioners.txt,6/3/2020,DC_Florida Northern,federal,trial,Florida
"Dodero v. Walton Cty, 2020 WL 5879130",2020 WL 5879130,054-Dodero-v-Walton-County_1.txt,4/17/2020,DC_Florida Northern,federal,trial,Florida
"Lloyd v. School Board of Palm Beach County, 2021 WL 5353879
",2021 WL 5353879,060-Lloyd-v-School-Board-of-Palm-Beach-County_1.txt,10/29/2021,DC_Florida Southern,federal,trial,Florida
"828 Management v. Broward County, 2021 WL 1212588",2021 WL 1212588,035-828-Management-LLC-v-Broward-County_1.txt,2/16/2021,DC_Florida Southern,federal,trial,Florida
"American Federation of Government Employees Local 501 v. Biden, 2021 WL 6551602",2021 WL 6551602,19-American-Federation-of-Government-Employees-Local-501-v-Biden_1.txt,12/22/2021,DC_Florida Southern,federal,trial,Federal
"7020 Entertainment, LLC v. Miami-Dade County, 519 F.Supp.3d 1094",519 F.Supp.3d 1094,045-7020-Entertainment-LLC-v-Miami-Dade-County_1.txt,2/11/2021,DC_Florida Southern,federal,trial,Florida
"Norwegian Cruise Line Holdings Ltd. et al. v. Rivkees, M.D., 553 F.Supp.3d 1143",553 F.Supp.3d 1143,093-Norwegian-Cruise-Line-Holdings-Ltd-v-Rivkees.txt,8/8/2021,DC_Florida Southern,federal,trial,Florida
"Henry v. DeSantis, 461 F.Supp.3d 1244",461 F.Supp.3d 1244,052-Henry-v-DeSantis.txt,5/14/2020,DC_Florida Southern,federal,trial,Florida
"828 Management v. Broward County, 508 F.Supp.3d 1188",508 F.Supp.3d 1188,019-828-Management-LLC-v-Broward-County_1.txt,12/21/2020,DC_Florida Southern,federal,trial,Florida
"Day v. Johnston, 510 F.Supp.3d 1296",510 F.Supp.3d 1296,028-Day-v-Johnston.txt,12/29/2020,DC_Florida Southern,federal,trial,Florida
"Haim v. Monroe Cty, 479 F.Supp.3d 1274",479 F.Supp.3d 1274,047-Haim-v-Monroe-County.txt,8/17/2020,DC_Florida Southern,federal,trial,Florida
"Hayes v. DeSantis, 561 F.Supp.3d 1187",561 F.Supp.3d 1187,009-Hayes-v-DeSantis.txt,9/15/2021,DC_Florida Southern,federal,trial,Florida
"Air Force Officer v. Austin, et. al, 2022 WL 468799",2022 WL 468799,55-Air-Force-Officer-v-Austin_1.txt,2/15/2022,DC_Georgia Middle,federal,trial,Federal
"Regalado v. Walensky, 2022 WL 2720724",2022 WL 2720724,87-Regalado-v-Walensky.txt,6/21/2022,DC_Georgia Northern,federal,trial,Federal
Brown v. Azar 497 F.Supp.3d 1270,497 F.Supp.3d 1270,019-Brown-v-Azar.txt,10/29/2020,DC_Georgia Northern,federal,trial,Federal
"Georgia v. Biden, 2021 WL 5779939
",2021 WL 5779939,085-Georgia-v-Biden.txt,12/7/2021,DC_Georgia Southern,federal,trial,Federal
"Peinhopf v. Leon Guerrero,  2021 WL 4972622",2021 WL 4972622,037-Peinhopf-v-Guerrero_1.txt,2/5/2021,DC_Guam,federal,trial,Guam
"Peinhopf v. Leon Guerrero,  2021 WL 2417150",2021 WL 2417150,059-Peinhopf-v-Leon-Guerrero_1.txt,6/14/2021,DC_Guam,federal,trial,Guam
"Pelekai v. Hawai‘i, 2021 WL 4944804

",2021 WL 4944804,032-Pelekai-v-Hawaii_1.txt,10/22/2021,DC_Hawaii,federal,trial,Hawaii
"Denis v. Ige, 557 F.Supp.3d 1083",557 F.Supp.3d 1083,099-Denis-v-Ige.txt,8/31/2021,DC_Hawaii,federal,trial,Hawaii
"Denis v. Ige, 538 F.Supp.3d 1063",538 F.Supp.3d 1063,068-Denis-v-Ige_1.txt,5/12/2021,DC_Hawaii,federal,trial,Hawaii
"Lomma v. Connors, 539 F.Supp.3d 1094",539 F.Supp.3d 1094,070-Lomma-v-Connors_1.txt,5/17/2021,DC_Hawaii,federal,trial,Hawaii
"Carmichael v. Ige, 470 F.Supp.3d 1133",470 F.Supp.3d 1133,024-Carmichael-v-Ige.txt,7/2/2020,DC_Hawaii,federal,trial,Hawaii
"Kelley O'Neil's v. Ige, 2021 WL 767851",2021 WL 767851,32-Kelley-O_Neils-Inc-v-Ige_1.txt,2/26/2021,DC_Hawaii,federal,trial,Hawaii
"Bannister v. Ige II, 2020 WL 5031994",2020 WL 5031994,032-Bannister-v-Ige_1.txt,8/25/2020,DC_Hawaii,federal,trial,Hawaii
"Bannister v. Ige I, 2020 WL 4209225",2020 WL 4209225,018-Bannister-v-Ige.txt,7/22/2020,DC_Hawaii,federal,trial,Hawaii
"Pierce v. Connors, 2021 WL 5622107",2021 WL 5622107,075-Pierce-v-Connors_1.txt,11/30/2021,DC_Hawaii,federal,trial,Hawaii
"Jeffrey-Steven v. Ige, 2021 WL 5286552",2021 WL 5286552,057-Jeffrey-Steven-of-the-House-of-Jarrett-v-Ige_1.txt,11/12/2021,DC_Hawaii,federal,trial,Hawaii
"Herndon v. Little, 2021 WL 66657",2021 WL 66657,21-Herndon-v-Little_1.txt,1/7/2021,DC_Idaho,federal,trial,Idaho
"Hueter v. Kruse, 2022 WL 823066",2022 WL 823066,05-Hueter-v-Kruse.txt,3/18/2022,DC_Idaho,federal,trial,Idaho
"Health Freedom Defense Fund v. City of Hailey, Idaho, 2022 WL 716789",2022 WL 716789,90-Health-Freedom-Defense-Fund-Inc-v-City-of-Hailey-Idaho.txt,3/10/2022,DC_Idaho,federal,trial,Idaho
"Nowlin v. Pritzker, 2020 WL 5850844

",2020 WL 5850844,052-Nowlin-v-Pritzker_1.txt,10/1/2020,DC_Illinois Central,federal,trial,Illinois
"Nowlin v. Pritzker, 2021 WL 669333

",2021 WL 669333,22-Nowlin-v-Pritzker_1.txt,2/17/2021,DC_Illinois Central,federal,trial,Illinois
"Firszt v. Bresnahan, 2022 WL 138141",2022 WL 138141,83-Firszt-v-Bresnahan.txt,1/14/2022,DC_Illinois Northern,federal,trial,Illinois
"Cisneroz v. City of Chicago, 2021 WL 5630778",2021 WL 5630778,077-Ciseneroz-v-City-of-Chicago_1.txt,12/1/2021,DC_Illinois Northern,federal,trial,Illinois
"Cassell v. Snyders I, 458 F.Supp.3d 981",458 F.Supp.3d 981,025-Cassell-v-Snyders.txt,5/3/2020,DC_Illinois Northern,federal,trial,Illinois
"Illinois Republican Party v. Pritzker, 470 F.Supp.3d 813",470 F.Supp.3d 813,054-Illinois-Republican-Party-v-Pritzker.txt,7/2/2020,DC_Illinois Northern,federal,trial,Illinois
"Elim Romanian Pentecostal Church v. Pritzker, 2021 WL 3142111",2021 WL 3142111,068-Elim-Romanian-Pentecostal-Church-v-Pritzker_1.txt,7/26/2021,DC_Illinois Northern,federal,trial,Illinois
"Elim Romanian Pentecostal Church v. Pritzker, 2020 WL 2468194",2020 WL 2468194,79-Elim-Romanian-Pentecostal-Church-v-Pritzker.txt,5/13/2020,DC_Illinois Northern,federal,trial,Illinois
"Mahwikizi v. Centers for Disease Control & Prevention, 573 F.Supp.3d 1245
",573 F.Supp.3d 1245,044-Mahwikizi-v-Centers-for-Disease-Control-And-Prevention_1.txt,11/22/2021,DC_Illinois Northern,federal,trial,Illinois
"Mahwikizi v. Centers for Disease Control & Prevention, 2022 WL 602452
",2022 WL 602452,73-Mahwikizi-v-Centers-for-Disease-Control-and-Prevention_1.txt,3/1/2022,DC_Illinois Northern,federal,trial,Illinois
"Pearson v. Pritzker,  2021 WL 1121086",2021 WL 1121086,032-Pearson-v-Pritzker_1.txt,3/24/2021,DC_Illinois Northern,federal,trial,Illinois
"Halgren v. City of Naperville, 2021 WL 5998583",2021 WL 5998583,099-Halgren-v-City-of-Naperville.txt,12/19/2021,DC_Illinois Northern,federal,trial,Illinois
"Kozlov v. City of Chicago, 2022 WL 602221",2022 WL 602221,72-Kozlov-v-City-of-Chicago_1.txt,2/28/2022,DC_Illinois Northern,federal,trial,Illinois
"Cruz on behalf of L.C. v. Pritzker, 2021 WL 5906059",2021 WL 5906059,094-Cruz-on-behalf-of-LC-v-Pritzker.txt,12/14/2021,DC_Illinois Northern,federal,trial,Illinois
"Haney v. Pritzker, 563 F.Supp.3d 840",563 F.Supp.3d 840,015-Haney-v-Pritzker.txt,9/27/2021,DC_Illinois Northern,federal,trial,Illinois
